date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:49:13	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2003%20Feb%202017%2018:49:13%20GMT	http://web.archive.org/web/20071127023324/http://osu.ppy.sh/index.php?p=about	C:/osu!web/osu2007web/web.archive.org/web/20071127023324/http_/osu.ppy.sh/index.01a8f.delayed	(from )
19:49:14	19383/19383	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2003%20Feb%202017%2018:49:13%20GMT	http://web.archive.org/web/20071127023324/http://osu.ppy.sh/	C:/osu!web/osu2007web/web.archive.org/web/20071127023324/http_/osu.ppy.sh/index.html	(from )
19:49:15	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2003%20Feb%202017%2018:49:14%20GMT	http://web.archive.org/web/20071127023324/http://osu.ppy.sh/index.php?p=changelog	C:/osu!web/osu2007web/web.archive.org/web/20071127023324/http_/osu.ppy.sh/index.2d1d9.delayed	(from )
19:49:17	13634/13634	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2003%20Feb%202017%2018:49:17%20GMT	http://web.archive.org/web/20071123172245/http://osu.ppy.sh/index.php?p=about	C:/osu!web/osu2007web/web.archive.org/web/20071123172245/http_/osu.ppy.sh/index1a8f.html	(from )
19:49:19	17072/17072	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202017%2018:49:18%20GMT	http://web.archive.org/web/20071125184645/http://osu.ppy.sh/index.php?p=changelog	C:/osu!web/osu2007web/web.archive.org/web/20071125184645/http_/osu.ppy.sh/indexd1d9.html	(from )
19:49:19	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2003%20Feb%202017%2018:49:18%20GMT	http://web.archive.org/web/20071127023324/http://osu.ppy.sh/index.php?p=download	C:/osu!web/osu2007web/web.archive.org/web/20071127023324/http_/osu.ppy.sh/indexacaf.php	(from )
19:49:20	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2003%20Feb%202017%2018:49:19%20GMT	http://web.archive.org/web/20071127023324/http://osu.ppy.sh/index.php?p=faq	C:/osu!web/osu2007web/web.archive.org/web/20071127023324/http_/osu.ppy.sh/index1532.php	(from )
19:49:20	13625/13625	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2003%20Feb%202017%2018:49:19%20GMT	http://web.archive.org/web/20071128080345/http://osu.ppy.sh/index.php?p=download	C:/osu!web/osu2007web/web.archive.org/web/20071128080345/http_/osu.ppy.sh/indexacaf.html	(from )
19:49:20	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2003%20Feb%202017%2018:49:20%20GMT	http://web.archive.org/web/20071127023324/http://osu.ppy.sh/index.php?p=player	C:/osu!web/osu2007web/web.archive.org/web/20071127023324/http_/osu.ppy.sh/indexc9a3.php	(from )
19:49:21	18746/18746	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2003%20Feb%202017%2018:49:20%20GMT	http://web.archive.org/web/20071122213806/http://osu.ppy.sh/index.php?p=faq	C:/osu!web/osu2007web/web.archive.org/web/20071122213806/http_/osu.ppy.sh/index1532.html	(from )
19:49:22	101/101	U-----	200	untouched ('OK')	text/plain	etag:W/%22101-1449087168000%22	http://web.archive.org/robots.txt		(from )
19:49:22	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2003%20Feb%202017%2018:49:21%20GMT	http://web.archive.org/web/20071123172250/http://osu.ppy.sh/forum/	C:/osu!web/osu2007web/web.archive.org/web/20071123172250/http_/osu.ppy.sh/forum/index.html	(from )
19:49:22	23536/23536	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2003%20Feb%202017%2018:49:21%20GMT	http://web.archive.org/web/20071123172250/http://osu.ppy.sh/index.php?p=player	C:/osu!web/osu2007web/web.archive.org/web/20071123172250/http_/osu.ppy.sh/indexc9a3.html	(from )
